Time_ns,rmsd,rg,sasa,hbonds,ligand_rmsd
52.500,0.141930,,,,
57.500,0.127285,,,,
62.500,0.115497,,,,
67.500,0.114856,,,,
72.500,0.107931,,,,
77.500,0.081648,,,,
82.500,0.080759,,,,
87.500,0.078903,,,,
92.500,0.075817,,,,
97.500,0.081039,,,,
102.500,0.075315,,,,
107.500,0.075399,,,,
112.500,0.079216,,,,
117.500,0.087355,,,,
122.500,0.088028,,,,
127.500,0.089921,,,,
132.500,0.100065,,,,
137.500,0.095111,,,,
142.500,0.093963,,,,
147.500,0.093002,,,,
52.499,,1.669702,,,
57.499,,1.671059,,,
62.499,,1.667005,,,
67.499,,1.669520,,,
72.499,,1.669852,,,
77.499,,1.675597,,,
82.499,,1.676659,,,
87.499,,1.675940,,,
92.499,,1.672602,,,
97.499,,1.674189,,,
102.499,,1.674089,,,
107.499,,1.675357,,,
112.499,,1.674865,,,
117.499,,1.676787,,,
122.499,,1.677577,,,
127.499,,1.674064,,,
132.500,,1.674901,,,
137.500,,1.676013,,,
142.500,,1.676894,,,
147.500,,1.679430,,,
52.499,,,102.147689,,
57.499,,,101.329232,,
62.499,,,101.042763,,
67.499,,,101.982818,,
72.499,,,101.373234,,
77.499,,,102.170006,,
82.499,,,101.503544,,
87.499,,,101.548007,,
92.499,,,100.904427,,
97.499,,,101.729787,,
102.499,,,101.782915,,
107.499,,,101.581931,,
112.499,,,102.805995,,
117.499,,,103.277019,,
122.499,,,103.088824,,
127.499,,,102.172791,,
132.500,,,103.618063,,
137.500,,,102.884180,,
142.500,,,102.902813,,
147.500,,,102.902135,,
52.499,,,,0.079200,
57.499,,,,0.056200,
62.499,,,,0.083600,
67.499,,,,0.019600,
72.499,,,,0.016600,
77.499,,,,0.012400,
82.499,,,,0.002800,
87.499,,,,0.007600,
92.499,,,,0.014600,
97.499,,,,0.012600,
102.499,,,,0.013600,
107.499,,,,0.011400,
112.499,,,,0.012400,
117.499,,,,0.011000,
122.499,,,,0.008000,
127.499,,,,0.033800,
132.500,,,,0.041400,
137.500,,,,1.187000,
142.500,,,,1.436400,
147.500,,,,0.498000,
52.499,,,,,0.070342
57.499,,,,,0.071409
62.499,,,,,0.085378
67.499,,,,,0.081284
72.499,,,,,0.088074
77.499,,,,,0.092408
82.499,,,,,0.070500
87.499,,,,,0.075056
92.499,,,,,0.073096
97.499,,,,,0.079273
102.499,,,,,0.072668
107.499,,,,,0.071423
112.499,,,,,0.074889
117.499,,,,,0.087913
122.499,,,,,0.094711
127.499,,,,,0.095706
132.500,,,,,0.078888
137.500,,,,,0.074658
142.500,,,,,0.069903
147.500,,,,,0.077900
