Time_ns,rmsd,rg,sasa,hbonds,ligand_rmsd
52.500,0.157990,,,,
57.500,0.163380,,,,
62.500,0.165388,,,,
67.500,0.171565,,,,
72.500,0.180792,,,,
77.500,0.179759,,,,
82.500,0.161184,,,,
87.500,0.157343,,,,
92.500,0.170222,,,,
97.500,0.133784,,,,
102.500,0.129934,,,,
107.500,0.144470,,,,
112.500,0.163231,,,,
117.500,0.167952,,,,
122.500,0.172411,,,,
127.500,0.181973,,,,
132.500,0.179525,,,,
137.500,0.180597,,,,
142.500,0.172574,,,,
147.500,0.184827,,,,
52.499,,1.695428,,,
57.499,,1.693751,,,
62.499,,1.690621,,,
67.499,,1.687554,,,
72.499,,1.687700,,,
77.499,,1.688034,,,
82.499,,1.694470,,,
87.499,,1.704322,,,
92.499,,1.702362,,,
97.499,,1.707389,,,
102.499,,1.707370,,,
107.499,,1.704176,,,
112.499,,1.702319,,,
117.499,,1.701064,,,
122.499,,1.694869,,,
127.499,,1.697115,,,
132.500,,1.696848,,,
137.500,,1.702191,,,
142.500,,1.703597,,,
147.500,,1.685812,,,
52.499,,,110.387627,,
57.499,,,109.590267,,
62.499,,,108.899086,,
67.499,,,108.208298,,
72.499,,,108.258383,,
77.499,,,107.809042,,
82.499,,,109.681599,,
87.499,,,111.449990,,
92.499,,,112.715078,,
97.499,,,112.742269,,
102.499,,,111.539366,,
107.499,,,112.450328,,
112.499,,,112.581450,,
117.499,,,111.118872,,
122.499,,,110.014340,,
127.499,,,110.558848,,
132.500,,,110.656314,,
137.500,,,109.643929,,
142.500,,,108.733266,,
147.500,,,107.443089,,
52.499,,,,1.575000,
57.499,,,,1.144000,
62.499,,,,2.154600,
67.499,,,,2.450800,
72.499,,,,2.425000,
77.499,,,,2.303000,
82.499,,,,1.313600,
87.499,,,,1.328600,
92.499,,,,1.343200,
97.499,,,,1.457200,
102.499,,,,1.719400,
107.499,,,,1.878000,
112.499,,,,1.318800,
117.499,,,,1.508000,
122.499,,,,1.790000,
127.499,,,,2.212000,
132.500,,,,2.419600,
137.500,,,,1.873600,
142.500,,,,1.653200,
147.500,,,,0.383600,
52.499,,,,,0.192237
57.499,,,,,0.165783
62.499,,,,,0.143068
67.499,,,,,0.136827
72.499,,,,,0.138273
77.499,,,,,0.137265
82.499,,,,,0.152314
87.499,,,,,0.190818
92.499,,,,,0.191531
97.499,,,,,0.199515
102.499,,,,,0.183933
107.499,,,,,0.184171
112.499,,,,,0.182015
117.499,,,,,0.182387
122.499,,,,,0.190820
127.499,,,,,0.187368
132.500,,,,,0.201237
137.500,,,,,0.194527
142.500,,,,,0.196886
147.500,,,,,0.213106
