Time_ns,rmsd,rg,sasa,hbonds,ligand_rmsd
52.500,0.156392,,,,
57.500,0.159051,,,,
62.500,0.153730,,,,
67.500,0.160539,,,,
72.500,0.162760,,,,
77.500,0.171354,,,,
82.500,0.185951,,,,
87.500,0.207682,,,,
92.500,0.211310,,,,
97.500,0.215615,,,,
102.500,0.214925,,,,
107.500,0.213642,,,,
112.500,0.220783,,,,
117.500,0.221759,,,,
122.500,0.219632,,,,
127.500,0.211358,,,,
132.500,0.209838,,,,
137.500,0.209620,,,,
142.500,0.211699,,,,
147.500,0.213789,,,,
52.499,,1.703931,,,
57.499,,1.702529,,,
62.499,,1.703483,,,
67.499,,1.707090,,,
72.499,,1.710676,,,
77.499,,1.706754,,,
82.499,,1.698690,,,
87.499,,1.697631,,,
92.499,,1.700165,,,
97.499,,1.702863,,,
102.499,,1.696314,,,
107.499,,1.695452,,,
112.499,,1.683373,,,
117.499,,1.688609,,,
122.499,,1.686592,,,
127.499,,1.682526,,,
132.500,,1.685985,,,
137.500,,1.684501,,,
142.500,,1.685004,,,
147.500,,1.682123,,,
52.499,,,110.626432,,
57.499,,,110.979944,,
62.499,,,109.890918,,
67.499,,,110.327067,,
72.499,,,110.688800,,
77.499,,,109.688725,,
82.499,,,108.383822,,
87.499,,,109.075539,,
92.499,,,109.234395,,
97.499,,,109.030906,,
102.499,,,108.116272,,
107.499,,,107.824983,,
112.499,,,106.624680,,
117.499,,,106.284975,,
122.499,,,106.689244,,
127.499,,,105.923209,,
132.500,,,106.176321,,
137.500,,,105.860982,,
142.500,,,105.838115,,
147.500,,,104.616456,,
52.499,,,,4.494000,
57.499,,,,4.853000,
62.499,,,,4.554400,
67.499,,,,4.322800,
72.499,,,,3.541000,
77.499,,,,2.857200,
82.499,,,,2.645200,
87.499,,,,2.740400,
92.499,,,,2.529200,
97.499,,,,2.619800,
102.499,,,,2.467800,
107.499,,,,2.582200,
112.499,,,,2.888200,
117.499,,,,3.242600,
122.499,,,,3.346600,
127.499,,,,3.315200,
132.500,,,,3.337000,
137.500,,,,2.991000,
142.500,,,,3.086600,
147.500,,,,3.124200,
52.499,,,,,0.210765
57.499,,,,,0.221336
62.499,,,,,0.218818
67.499,,,,,0.209251
72.499,,,,,0.208975
77.499,,,,,0.209239
82.499,,,,,0.221688
87.499,,,,,0.199223
92.499,,,,,0.206251
97.499,,,,,0.208382
102.499,,,,,0.206972
107.499,,,,,0.206005
112.499,,,,,0.200543
117.499,,,,,0.191399
122.499,,,,,0.186820
127.499,,,,,0.193127
132.500,,,,,0.190107
137.500,,,,,0.188554
142.500,,,,,0.184507
147.500,,,,,0.184755
