Complex,Descriptor,Mean ± SD,95% CI,CV (%),Neff,Trend Slope,R²,Converged
OPI,rmsd,0.1966 ± 0.0254,"[0.1847, 0.2062]",12.90,3,7.15e-04,0.6959,No
OPI,rg,1.6952 ± 0.0095,"[1.6911, 1.6992]",0.56,3,-2.89e-04,0.8156,No
OPI,sasa,108.0941 ± 1.9668,"[107.2320, 108.9079]",1.82,3,-6.43e-02,0.9349,No
OPI,hbonds,3.2769 ± 0.7275,"[3.0056, 3.6259]",22.20,5,-1.29e-02,0.2731,No
OPI,ligand_rmsd,0.2023 ± 0.0120,"[0.1973, 0.2076]",5.92,3,-3.62e-04,0.7979,No
L2,rmsd,0.1659 ± 0.0154,"[0.1580, 0.1716]",9.30,6,1.41e-04,0.0734,Yes
L2,rg,1.6973 ± 0.0069,"[1.6942, 1.7002]",0.41,6,7.30e-05,0.0977,Yes
L2,sasa,110.2241 ± 1.6853,"[109.5139, 110.9376]",1.53,5,4.72e-03,0.0068,Yes
L2,hbonds,1.7126 ± 0.5243,"[1.4711, 1.9167]",30.61,12,-3.37e-03,0.0361,Yes
L2,ligand_rmsd,0.1782 ± 0.0238,"[0.1670, 0.1872]",13.34,5,5.54e-04,0.4755,No
L4,rmsd,0.1243 ± 0.0133,"[0.1194, 0.1309]",10.68,11,1.91e-04,0.1804,Yes
L4,rg,1.6996 ± 0.0057,"[1.6973, 1.7022]",0.33,5,8.14e-05,0.1809,Yes
L4,sasa,107.7612 ± 1.3204,"[107.2725, 108.4201]",1.23,5,3.19e-02,0.5114,No
L4,hbonds,0.5733 ± 0.3579,"[0.4031, 0.7132]",62.44,4,-9.84e-03,0.6614,No
L4,ligand_rmsd,0.1323 ± 0.0097,"[0.1280, 0.1364]",7.35,6,1.76e-04,0.2873,No
L10,rmsd,0.1254 ± 0.0122,"[0.1207, 0.1312]",9.73,7,-1.83e-04,0.1959,Yes
L10,rg,1.6909 ± 0.0034,"[1.6896, 1.6925]",0.20,5,-7.65e-05,0.4420,No
L10,sasa,104.6250 ± 0.9931,"[104.1964, 105.0401]",0.95,4,-2.83e-02,0.7085,No
L10,hbonds,0.8276 ± 0.0316,"[0.8143, 0.8413]",3.82,5,-6.51e-04,0.3717,No
L10,ligand_rmsd,0.1165 ± 0.0071,"[0.1141, 0.1204]",6.11,8,7.58e-06,0.0010,Yes
L11,rmsd,0.2017 ± 0.0150,"[0.1949, 0.2076]",7.45,4,3.78e-04,0.5539,No
L11,rg,1.7155 ± 0.0025,"[1.7145, 1.7166]",0.15,11,2.41e-05,0.0814,Yes
L11,sasa,110.9954 ± 0.6440,"[110.7506, 111.3081]",0.58,9,8.37e-03,0.1478,Yes
L11,hbonds,3.2333 ± 0.9093,"[2.8139, 3.5923]",28.12,3,-2.50e-02,0.6607,No
L11,ligand_rmsd,0.0733 ± 0.0037,"[0.0716, 0.0748]",5.08,20,-5.63e-05,0.2002,No
DNC,rmsd,0.0942 ± 0.0186,"[0.0873, 0.1034]",19.79,5,-3.15e-04,0.2498,No
DNC,rg,1.6741 ± 0.0032,"[1.6726, 1.6754]",0.19,6,8.38e-05,0.5999,No
DNC,sasa,102.1374 ± 0.7915,"[101.8161, 102.4940]",0.77,4,1.92e-02,0.5160,No
DNC,hbonds,0.1779 ± 0.4045,"[0.0512, 0.4645]",227.35,8,7.29e-03,0.2842,No
DNC,ligand_rmsd,0.0793 ± 0.0085,"[0.0760, 0.0834]",10.77,11,2.11e-05,0.0053,Yes
